"Zeitstempel","gender","country","age","studyprogram","langLevel(Eng)","langLevel(Ger)","coursename","difficulty","mainlanguages","learningmethodLectures","learningmethodExercises","learningmethodSelfstudy","learningmethodGroupStudy","participate","priviousknowledge","hours","langLevelenough","grade","comments",""
"2020/01/06 1:02:20 PM MEZ","Female","Germany","23","M.Sc. Komedia","B2","Native","Cloud, Web&Mobile","2","German","25%","25%","100%","0%","25%","No","5-10","Yes","2.0","","0%"
"2020/01/08 1:38:56 PM MEZ","Male","Turkey","28","M.Sc. Computer Engineering (Intelligent Networked Systems)","B2","B2","Information Mining","4","Englisch","100%","100%","100%","100%","100%","No","1-2","Yes","2.2","","100%"
"2020/01/08 1:39:11 PM MEZ","Female","Iran","29","M.Sc. Computer Engineering (Intelligent Networked Systems)","B2","C1","Learning Analytics","3","Englisch","100%","75%","100%","75%","100%","Yes","5-10","Yes","2.3","","100%"
"2020/01/08 1:41:33 PM MEZ","Male","China","23","M.Sc. Computer Engineering (Intelligent Networked Systems)","B2","B1","Information Mining","4","Englisch","100%","100%","100%","100%","100%","No","2-5","Yes","2.7","","100%"
"2020/01/08 1:43:30 PM MEZ","Female","China","26","M.Sc. Computer Engineering (Intelligent Networked Systems)","B1","B1","Learning Analytics","3","Englisch","100%","100%","100%","100%","75%","Yes","1-2","Yes","1.5","","75%"
"2020/01/08 4:06:42 PM MEZ","Female","China","26","M.Sc. Computer Engineering (Intelligent Networked Systems)","B1","B1","Learning Analytics","3","Englisch","100%","100%","100%","100%","75%","Yes","1-2","Yes","1.5","","75%"
"2020/01/09 9:36:25 AM MEZ","Male","Cameroon","22","M.Sc. Computer Engineering (Intelligent Networked Systems)","C1","B2","Advanced Web Technologies","2","Englisch","75%","75%","75%","25%","75%","Yes","5-10","Yes","1.3","","100%"
"2020/01/09 10:29:19 AM MEZ","Female","China","26","M.Sc. Computer Engineering (Intelligent Networked Systems)","B1","B1","Learning Analytics","3","Englisch","100%","100%","100%","100%","75%","Yes","1-2","Yes","1.5","","75%"
"2020/01/09 10:49:51 AM MEZ","Male","India","31","M.Sc. Computer Engineering (Intelligent Networked Systems)","C1","B1","Advanced Web Technologies","2","Englisch","50%","50%","75%","25%","50%","Yes","2-5","Yes","2.3","not that tough , but you have to spend alot of time","50%"
"2020/01/09 10:54:05 AM MEZ","Female","Iran","33","M.Sc. Computer Engineering (Intelligent Networked Systems)","B2","B2","Information Retrieval","3","Englisch","75%","100%","0%","0%","75%","No","5-10","Yes","2","","100%"
"2020/01/09 11:10:10 AM MEZ","Female","Iran","30","M.Sc. Computer Engineering (Intelligent Networked Systems)","B2","A2","Advanced Web Technologies","4","Englisch","100%","100%","75%","50%","100%","No","5-10","Yes","2.7","","100%"
"2020/01/09 11:11:23 AM MEZ","Female","China","24","M.Sc. Computer Engineering (Interactive Systems and Visualization)","B2","B1","Advanced Image Synthesis","5","Englisch","75%","75%","100%","25%","75%","No","2-5","Yes","3.3","","75%"
"2020/01/09 11:16:25 AM MEZ","Male","Iran","25","M.Sc. Computer Engineering (Intelligent Networked Systems)","C1","B2","Information Retrieval","3","Englisch","75%","100%","50%","25%","75%","Yes","1-2","Yes","1","","100%"
"2020/01/09 11:24:07 AM MEZ","Male","Pakistan","23","M.Sc. Computer Engineering (Intelligent Networked Systems)","C1","B1","Distributed Systems","4","Englisch","25%","0%","100%","100%","100%","Yes","1-2","Yes","0","The exam pattern and exam doesn’t match at all. Lectures and exercises are not enough to pass the exam. You need to study in depth on your own.","75%"
"2020/01/09 11:34:41 AM MEZ","Male","Iraq","25","M.Sc. Computer Engineering (Intelligent Networked Systems)","B2","Native","Entwicklung sicherer Software","3","Englisch","25%","75%","50%","75%","75%","No","1-2","Yes","3.2","","50%"
